Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga;Ciclo
426.8;3.902;0.000;MANUAL;OFF;OFF;1
427.8;3.900;0.000;MANUAL;OFF;OFF;1
428.8;3.900;0.000;MANUAL;OFF;OFF;1
429.8;3.898;0.000;MANUAL;OFF;OFF;1
430.9;3.897;0.000;MANUAL;OFF;OFF;1
431.8;3.896;0.000;MANUAL;OFF;OFF;1
432.9;3.896;0.000;MANUAL;OFF;OFF;1
433.9;3.896;0.000;MANUAL;OFF;OFF;1
434.9;3.895;0.000;MANUAL;OFF;OFF;1
435.9;3.895;0.000;MANUAL;OFF;OFF;1
436.9;3.893;0.000;MANUAL;OFF;OFF;1
437.9;3.893;0.000;AUTO;OFF;ON;1
438.9;3.699;0.189;AUTO;OFF;ON;1
439.9;3.693;0.175;AUTO;OFF;ON;1
441.0;3.693;0.175;AUTO;OFF;ON;1
442.0;3.688;0.224;AUTO;OFF;ON;1
443.0;3.683;0.244;AUTO;OFF;ON;1
444.0;3.680;0.238;AUTO;OFF;ON;1
445.0;3.676;0.282;AUTO;OFF;ON;1
446.0;3.673;0.236;AUTO;OFF;ON;1
446.8;3.669;0.206;AUTO;OFF;ON;1
448.0;3.669;0.206;AUTO;OFF;ON;1
449.0;3.666;0.249;AUTO;OFF;ON;1
450.1;3.664;0.234;AUTO;OFF;ON;1
451.1;3.661;0.193;AUTO;OFF;ON;1
452.1;3.658;0.159;AUTO;OFF;ON;1
453.1;3.655;0.172;AUTO;OFF;ON;1
454.1;3.653;0.263;AUTO;OFF;ON;1
455.0;3.651;0.251;AUTO;OFF;ON;1
456.1;3.648;0.259;AUTO;OFF;ON;1
457.1;3.648;0.259;AUTO;OFF;ON;1
458.1;3.646;0.254;AUTO;OFF;ON;1
459.2;3.644;0.294;AUTO;OFF;ON;1
460.2;3.642;0.276;AUTO;OFF;ON;1
461.2;3.639;0.290;AUTO;OFF;ON;1
462.2;3.637;0.298;AUTO;OFF;ON;1
463.1;3.635;0.283;AUTO;OFF;ON;1
464.2;3.635;0.283;AUTO;OFF;ON;1
465.2;3.633;0.258;AUTO;OFF;ON;1
466.2;3.631;0.236;AUTO;OFF;ON;1
467.2;3.629;0.263;AUTO;OFF;ON;1
468.2;3.627;0.308;AUTO;OFF;ON;1
469.2;3.625;0.373;AUTO;OFF;ON;1
470.3;3.624;0.395;AUTO;OFF;ON;1
471.2;3.622;0.378;AUTO;OFF;ON;1
472.3;3.622;0.378;AUTO;OFF;ON;1
473.3;3.620;0.298;AUTO;OFF;ON;1
474.3;3.618;0.304;AUTO;OFF;ON;1
475.3;3.617;0.288;AUTO;OFF;ON;1
476.3;3.614;0.359;AUTO;OFF;ON;1
477.3;3.613;0.332;AUTO;OFF;ON;1
478.1;3.611;0.428;AUTO;OFF;ON;1
479.3;3.609;0.344;AUTO;OFF;ON;1
480.4;3.609;0.344;AUTO;OFF;ON;1
481.4;3.608;0.286;AUTO;OFF;ON;1
482.4;3.606;0.318;AUTO;OFF;ON;1
483.4;3.605;0.319;AUTO;OFF;ON;1
484.4;3.603;0.366;AUTO;OFF;ON;1
485.4;3.601;0.382;AUTO;OFF;ON;1
486.3;3.600;0.382;AUTO;OFF;ON;1
487.4;3.600;0.382;AUTO;OFF;ON;1
488.4;3.598;0.286;AUTO;OFF;ON;1
489.5;3.597;0.330;AUTO;OFF;ON;1
490.5;3.595;0.347;AUTO;OFF;ON;1
491.5;3.593;0.359;AUTO;OFF;ON;1
492.5;3.592;0.315;AUTO;OFF;ON;1
493.5;3.591;0.315;AUTO;OFF;ON;1
494.4;3.590;0.349;AUTO;OFF;ON;1
495.5;3.590;0.349;AUTO;OFF;ON;1
496.5;3.588;0.380;AUTO;OFF;ON;1
497.6;3.587;0.351;AUTO;OFF;ON;1
498.6;3.584;0.284;AUTO;OFF;ON;1
499.6;3.583;0.277;AUTO;OFF;ON;1
500.6;3.582;0.366;AUTO;OFF;ON;1
501.6;3.581;0.365;AUTO;OFF;ON;1
502.5;3.579;0.305;AUTO;OFF;ON;1
503.6;3.579;0.305;AUTO;OFF;ON;1
504.6;3.578;0.225;AUTO;OFF;ON;1
505.7;3.576;0.318;AUTO;OFF;ON;1
506.7;3.575;0.318;AUTO;OFF;ON;1
507.7;3.574;0.294;AUTO;OFF;ON;1
508.7;3.572;0.327;AUTO;OFF;ON;1
509.7;3.571;0.344;AUTO;OFF;ON;1
510.6;3.569;0.324;AUTO;OFF;ON;1
511.7;3.569;0.324;AUTO;OFF;ON;1
512.7;3.569;0.328;AUTO;OFF;ON;1
513.8;3.567;0.352;AUTO;OFF;ON;1
514.8;3.566;0.393;AUTO;OFF;ON;1
515.8;3.564;0.338;AUTO;OFF;ON;1
516.8;3.564;0.282;AUTO;OFF;ON;1
517.6;3.562;0.305;AUTO;OFF;ON;1
518.8;3.561;0.323;AUTO;OFF;ON;1
519.8;3.561;0.323;AUTO;OFF;ON;1
520.8;3.559;0.330;AUTO;OFF;ON;1
521.8;3.558;0.330;AUTO;OFF;ON;1
522.8;3.557;0.363;AUTO;OFF;ON;1
523.8;3.556;0.391;AUTO;OFF;ON;1
524.8;3.555;0.333;AUTO;OFF;ON;1
525.7;3.553;0.397;AUTO;OFF;ON;1
526.9;3.553;0.397;AUTO;OFF;ON;1
527.9;3.551;0.344;AUTO;OFF;ON;1
528.9;3.551;0.348;AUTO;OFF;ON;1
529.9;3.550;0.371;AUTO;OFF;ON;1
530.9;3.548;0.369;AUTO;OFF;ON;1
531.9;3.546;0.347;AUTO;OFF;ON;1
