Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
272.2;4.191;0.000;AUTO;ON;OFF
273.1;4.191;0.000;AUTO;ON;OFF
273.3;4.190;0.000;AUTO;ON;OFF
274.2;4.190;0.000;AUTO;ON;OFF
274.5;4.190;0.000;AUTO;ON;OFF
275.3;4.190;0.000;AUTO;ON;OFF
275.6;4.190;0.000;AUTO;ON;OFF
276.4;4.190;0.000;AUTO;ON;OFF
276.8;4.190;0.000;AUTO;ON;OFF
277.5;4.190;0.000;AUTO;ON;OFF
278.0;4.189;0.000;AUTO;ON;OFF
278.6;4.189;0.000;AUTO;ON;OFF
279.1;4.190;0.000;AUTO;ON;OFF
279.6;4.190;0.000;AUTO;ON;OFF
280.3;4.190;0.000;AUTO;ON;OFF
280.7;4.190;0.000;AUTO;ON;OFF
281.5;4.190;0.000;AUTO;ON;OFF
281.8;4.190;0.000;AUTO;ON;OFF
282.6;4.188;0.000;AUTO;ON;OFF
282.9;4.188;0.000;AUTO;ON;OFF
283.8;4.190;0.000;AUTO;ON;OFF
283.9;4.190;0.000;AUTO;ON;OFF
284.9;4.190;0.000;AUTO;ON;OFF
285.0;4.190;0.000;AUTO;ON;OFF
286.1;4.191;0.000;AUTO;ON;OFF
286.1;4.191;0.000;AUTO;ON;OFF
287.2;4.191;0.000;AUTO;ON;OFF
287.2;4.190;0.000;AUTO;ON;OFF
288.3;4.190;0.000;AUTO;ON;OFF
288.4;4.191;0.000;AUTO;ON;OFF
289.3;4.191;0.000;AUTO;ON;OFF
289.6;4.190;0.000;AUTO;ON;OFF
290.4;4.190;0.000;AUTO;ON;OFF
290.7;4.190;0.000;AUTO;ON;OFF
291.5;4.190;0.000;AUTO;ON;OFF
291.9;4.190;0.000;AUTO;ON;OFF
292.6;4.190;0.000;AUTO;ON;OFF
293.1;4.190;0.000;AUTO;ON;OFF
293.7;4.190;0.000;AUTO;ON;OFF
294.2;4.191;0.000;AUTO;ON;OFF
294.8;4.191;0.000;AUTO;ON;OFF
295.4;4.190;0.000;AUTO;ON;OFF
295.8;4.190;0.000;AUTO;ON;OFF
296.5;4.190;0.000;AUTO;ON;OFF
296.9;4.190;0.000;AUTO;ON;OFF
297.7;4.190;0.000;AUTO;ON;OFF
298.0;4.190;0.000;AUTO;ON;OFF
298.9;4.190;0.000;AUTO;ON;OFF
299.1;4.190;0.000;AUTO;ON;OFF
