Tempo (s);Tensao (V);Corrente (A);Modo;Carga;Descarga
215.1;3.506;0.000;MANUAL;OFF;ON
215.4;3.506;0.000;MANUAL;OFF;ON
216.3;3.629;0.000;MANUAL;OFF;ON
216.5;3.629;0.000;MANUAL;OFF;ON
217.4;3.633;0.000;MANUAL;OFF;ON
217.5;3.633;0.000;MANUAL;OFF;ON
218.6;3.637;0.000;MANUAL;OFF;ON
218.6;3.637;0.000;MANUAL;OFF;ON
219.7;3.637;0.000;MANUAL;OFF;ON
219.8;3.639;0.000;MANUAL;OFF;ON
220.8;3.639;0.000;MANUAL;OFF;ON
220.9;3.642;0.000;MANUAL;OFF;ON
221.8;3.642;0.000;MANUAL;OFF;ON
222.1;3.644;0.000;MANUAL;OFF;ON
222.9;3.644;0.000;MANUAL;OFF;ON
223.2;3.647;0.000;MANUAL;OFF;ON
223.9;3.647;0.000;MANUAL;OFF;ON
224.4;3.649;0.000;MANUAL;OFF;ON
225.0;3.649;0.000;MANUAL;OFF;ON
225.6;3.651;0.000;MANUAL;OFF;ON
226.1;3.651;0.000;MANUAL;OFF;ON
226.7;3.489;0.000;MANUAL;OFF;ON
227.1;3.489;0.000;MANUAL;OFF;ON
227.9;3.395;0.247;MANUAL;OFF;ON
228.2;3.395;0.247;MANUAL;OFF;ON
229.0;3.389;0.111;MANUAL;OFF;ON
229.2;3.389;0.111;MANUAL;OFF;ON
230.2;3.384;0.186;MANUAL;OFF;ON
230.3;3.384;0.186;MANUAL;OFF;ON
231.4;3.382;0.150;MANUAL;OFF;ON
231.4;3.382;0.150;MANUAL;OFF;ON
232.4;3.382;0.150;MANUAL;OFF;ON
232.5;3.378;0.174;MANUAL;OFF;ON
233.5;3.378;0.174;MANUAL;OFF;ON
233.7;3.370;0.186;MANUAL;OFF;ON
234.5;3.370;0.186;MANUAL;OFF;ON
234.8;3.369;0.154;MANUAL;OFF;ON
235.6;3.369;0.154;MANUAL;OFF;ON
236.0;3.366;0.159;MANUAL;OFF;ON
236.7;3.366;0.159;MANUAL;OFF;ON
237.2;3.363;0.131;MANUAL;OFF;ON
237.7;3.363;0.131;MANUAL;OFF;ON
238.3;3.359;0.102;MANUAL;OFF;ON
238.8;3.359;0.102;MANUAL;OFF;ON
239.5;3.357;0.115;MANUAL;OFF;ON
239.9;3.357;0.115;MANUAL;OFF;ON
240.6;3.354;0.301;MANUAL;OFF;ON
240.9;3.354;0.301;MANUAL;OFF;ON
241.8;3.350;0.540;MANUAL;OFF;ON
242.0;3.350;0.540;MANUAL;OFF;ON
243.0;3.349;0.540;MANUAL;OFF;ON
243.1;3.349;0.540;MANUAL;OFF;ON
244.1;3.345;0.540;MANUAL;OFF;ON
244.1;3.345;0.540;MANUAL;OFF;ON
245.2;3.345;0.540;MANUAL;OFF;ON
245.3;3.343;0.540;MANUAL;OFF;ON
246.3;3.343;0.540;MANUAL;OFF;ON
246.4;3.339;0.540;MANUAL;OFF;ON
247.3;3.339;0.540;MANUAL;OFF;ON
247.6;3.337;0.540;MANUAL;OFF;ON
248.4;3.337;0.540;MANUAL;OFF;ON
248.8;3.334;0.540;MANUAL;OFF;ON
249.4;3.334;0.540;MANUAL;OFF;ON
249.9;3.331;0.540;MANUAL;OFF;ON
250.5;3.331;0.540;MANUAL;OFF;ON
251.1;3.329;0.540;MANUAL;OFF;ON
251.6;3.329;0.540;MANUAL;OFF;ON
252.2;3.326;0.540;MANUAL;OFF;ON
252.6;3.326;0.540;MANUAL;OFF;ON
253.4;3.323;0.514;MANUAL;OFF;ON
253.7;3.323;0.514;MANUAL;OFF;ON
254.6;3.320;0.540;MANUAL;OFF;ON
254.7;3.320;0.540;MANUAL;OFF;ON
255.7;3.318;0.514;MANUAL;OFF;ON
255.8;3.318;0.514;MANUAL;OFF;ON
256.9;3.314;0.502;MANUAL;OFF;ON
256.9;3.314;0.502;MANUAL;OFF;ON
258.0;3.314;0.502;MANUAL;OFF;ON
258.0;3.311;0.466;MANUAL;OFF;ON
259.1;3.311;0.466;MANUAL;OFF;ON
259.2;3.309;0.467;MANUAL;OFF;ON
260.1;3.309;0.467;MANUAL;OFF;ON
260.4;3.306;0.504;MANUAL;OFF;ON
261.2;3.306;0.504;MANUAL;OFF;ON
261.5;3.303;0.531;MANUAL;OFF;ON
262.3;3.303;0.531;MANUAL;OFF;ON
262.7;3.300;0.480;MANUAL;OFF;ON
263.3;3.300;0.480;MANUAL;OFF;ON
263.8;3.297;0.465;MANUAL;OFF;ON
264.4;3.297;0.465;MANUAL;OFF;ON
265.0;3.294;0.540;MANUAL;OFF;ON
265.5;3.294;0.540;MANUAL;OFF;ON
266.2;3.291;0.449;MANUAL;OFF;ON
266.6;3.291;0.449;MANUAL;OFF;ON
267.3;3.288;0.467;MANUAL;OFF;ON
267.6;3.288;0.467;MANUAL;OFF;ON
268.5;3.286;0.474;MANUAL;OFF;ON
268.7;3.286;0.474;MANUAL;OFF;ON
269.6;3.283;0.530;MANUAL;OFF;ON
269.8;3.283;0.530;MANUAL;OFF;ON
270.8;3.280;0.540;MANUAL;OFF;ON
270.8;3.280;0.540;MANUAL;OFF;ON
271.9;3.280;0.540;MANUAL;OFF;ON
272.0;3.276;0.540;MANUAL;OFF;ON
273.0;3.276;0.540;MANUAL;OFF;ON
273.1;3.274;0.540;MANUAL;OFF;ON
274.0;3.274;0.540;MANUAL;OFF;ON
274.3;3.271;0.531;MANUAL;OFF;ON
275.1;3.271;0.531;MANUAL;OFF;ON
275.4;3.267;0.535;MANUAL;OFF;ON
276.2;3.267;0.535;MANUAL;OFF;ON
276.6;3.265;0.540;MANUAL;OFF;ON
277.2;3.265;0.540;MANUAL;OFF;ON
277.8;3.263;0.540;MANUAL;OFF;ON
278.3;3.263;0.540;MANUAL;OFF;ON
278.9;3.259;0.540;MANUAL;OFF;ON
279.4;3.259;0.540;MANUAL;OFF;ON
280.1;3.256;0.540;MANUAL;OFF;ON
280.4;3.256;0.540;MANUAL;OFF;ON
281.2;3.253;0.523;MANUAL;OFF;ON
281.5;3.253;0.523;MANUAL;OFF;ON
282.4;3.250;0.531;MANUAL;OFF;ON
282.6;3.250;0.531;MANUAL;OFF;ON
283.6;3.248;0.540;MANUAL;OFF;ON
283.7;3.248;0.540;MANUAL;OFF;ON
284.7;3.248;0.540;MANUAL;OFF;ON
284.7;3.245;0.533;MANUAL;OFF;ON
285.8;3.245;0.533;MANUAL;OFF;ON
285.9;3.241;0.533;MANUAL;OFF;ON
286.8;3.241;0.533;MANUAL;OFF;ON
